,Document,Category,T1,T2,T3,T4,T5,T6
552,"This article analyzes how the patent stock of new entrants in industries shaped by systemic innovations influences their subsequent openness in innovation. The results suggest that patenting increases new entrants' number of Open Innovation relationships, on average. This association, however, varies across relationships of differing technology intensity. While the effect of patenting is strongly positive for technology-intensive relationships, it becomes weaker as the technology intensity decreases, and turns negative for least technology-intensive relationships. ",Social Sciences & Humanities,0.015,0.013,-0.009,-0.023,-0.005,0.071
553,This article covers the subject of the practical application of the principles of Open Innovation in Dutch industry. Open Innovation is considered to be the third stage in evolving systems for innovation management. The results of the study showed that innovative Dutch companies have successfully adopted the principles of Open Innovation regarding Open Innovation culture and importing mechanisms. Some challenges are found in the use of exporting mechanisms; but the biggest challenges for innovative Dutch companies lie in the flexible and open way of handling their business models. ,Social Sciences & Humanities,0.01,-0.014,-0.011,-0.012,0.001,-0.002
554,"This article examines current developments in the field of CAI. The field of CAI has been driven by two major recent developments. One being the technological possibilities in the software field commonly referred to as ""Web 2.0"". The other being a strategic paradigm shift from closed to Open Innovation in many companies. Both developments lead to a new form of CAI which have been analyzed in detail and named Open CAI 2.0. This paper discusses the benefits and challenges for software providers and users arising from this new evolutionary step of CAI. ",Physical Sciences,0.011,-0.012,-0.012,-0.012,0.015,-0.0
555,"This article examines the “multiunit back-end problem” of Open Innovation based on a case study of the Banque Populaire Caisse d’Epargne (BPCE) Group, a large French bank with two business units. The multiunit back-end problem occurs when internal business units who consider themselves rivals are asked to collaborate for the success of an Open Innovation initiative. BPCE failed several times to use external startups to accelerate its digital transformation due to rivalry between its internal business units. This article presents guidelines that firms with rival business units can use to align their front-end and back-end when working with startups to accelerate their digital transformation program. ",Social Sciences & Humanities,0.013,0.004,-0.013,-0.01,0.003,-0.005
556,"This article examines the impact of Open Innovation practices on the innovation activity of low-tech small- and medium-sized enterprises (SMEs). Different external knowledge sources are considered, and the ability of SMEs to acquire and integrate external knowledge into their organizational boundaries for innovation purposes is assessed. The research draws on a sample of 191 Italian winemakers. The results show that SMEs with higher propensity to access and use external knowledge sources show a greater ability to innovate and that their absorptive capacity impacts the use of external sources. Several implications for theory and practice are drawn, underlining a number of suggestions for future research. ",Social Sciences & Humanities,0.026,-0.003,-0.016,0.05,-0.026,0.01
557,"This article examines the impact of the emerging model of Open Innovation on state public policy, particularly the practice of technology-based economic development in weak research and development (R&D) states. Open Innovation describes the nascent practice of firms using knowledge created outside their boundaries and also marketing ideas they would not commercialize themselves. Firms engaging in Open Innovation thrive on knowledge spillovers, and weak R&D regions could benefit from this model through the creation of Marshallian externalities. It is therefore interesting to ask whether weak R&D states take advantage of this model. This case study analysis shows that states involved in the Experimental Program to Stimulate Competitive Research partially support the emerging Open Innovation paradigm. All states have science and technology strategies and actively support and invest in their higher education infrastructure. They show variation in their support for university-industry partnerships, entrepreneurship, capital access, commercialization, and technology transfer. None of the states, however, uses the Open Innovation framework explicitly. ",Social Sciences & Humanities,0.037,0.001,-0.032,-0.008,0.041,0.036
558,"This article examines the outcomes of Open Innovation and their contribution to public value by analysing 19 subnational civic hackathons across the US. Our analysis identifies three outcomes (digital prototypes, public engagement and relationship building, and government awareness of open data and OI) and lends support to the predominance of public engagement and relationship building over digital prototypes. Further, our study shows that OI initiatives may contribute to public value by enhancing substantive outcomes, democratic accountability, and procedural legitimacy. However, such contribution is constrained by the early stage of adoption of these initiatives and by the limited participation of external actors.",Social Sciences & Humanities,0.015,-0.017,0.02,-0.006,0.006,-0.002
559,"This article examines the relative value of Open Innovation principles for digital media, exemplified by the emergence of Open Application Programming Interfaces (Open APIs) at four news organizations: The New York Times, The Guardian, USA Today and NPR. The use of Open APIs represents a shift toward an Open Innovation paradigm that may help address twin challenges facing the news industry: the need for improved R&D and the need for new revenue streams. This paper extends the interdisciplinary study of Open Innovation to digital communication. Findings indicate that the use of Open APIs has accelerated R&D through knowledge-sharing with web developers; generated new means of commercializing content by extending a firm's product portfolio; and forged innovation networks that function as external R&D departments. The article discusses the constant negotiation between openness and control, and open and closed paradigms in journalism. ",Social Sciences & Humanities,0.021,0.001,-0.022,0.002,0.011,-0.001
560,"This article examines the role of social relations and networks in Open Innovation settings. Building on extant Open Innovation literature as well as on social capital theory, we develop a model that conceptualizes social capital as a mediator between the implementation of Open Innovation instruments and firm performance. In doing so, this paper adds to the understanding of the role of structure and content of social relations in Open Innovation contexts as well as of sustainable side-effects of Open Innovation. In particular, we argue that apart from a direct effect of Open Innovation instruments on firm performance, there is also a mediated relationship between these variables. More precisely, we propose that the implementation of Open Innovation instruments strengthens an organization's social capital, which is, in turn, positively related to firm performance. s",Social Sciences & Humanities,0.028,0.032,0.004,-0.019,-0.031,-0.033
561,"This article explores how effectuation approaches – entrepreneurial action that deals with a set of means as given and focuses on selecting between possible effects that can be created with that set of means – contribute to digital Multi-Sided Platform (MSP) startups significant growth. The study integrates effectuation theory with an Open Innovation strategy within the platform ecosystem to understand the innovation process under resource constraint, limited knowledge, and uncertainty. Our inductive multiple-case study findings from three leading digital MSP startups show how their founding team uses the knowledge, ideas, and resources from external parties within the platform ecosystem, including agents, user communities, and supporting partner firms, along with means from the entrepreneurs’ background, in the beginning to produce high growth innovation outcomes. Platform-based entrepreneurship becomes the integrating point of effectuation theory from entrepreneurship research and Open Innovation strategy through strategic management research. The bridge for these two areas suggests implications for plat-form-based entrepreneurship research in strategic entrepreneurship. ",Social Sciences & Humanities,0.035,-0.014,-0.027,0.014,0.008,-0.01
562,"This article explores how firms can benefit from opening up the new product development process by integrating the prindples of Open Innovation with the Stage-Gate process. It examines the potential opportunities of employing the principles of both inbound and outbound Open Innovation within new product development at a firm in the upstream oil & gas industry. A practitioner-oriented work model, named the open Stage-Gate model, can exploit the advantages of ""openness."" This model allows explicit consideration of import and export of know-how and technology through gate evaluations and also enables firms to continuously assess their core capabilities and business model. The application of this model can assist firms in capturing value from both internal and external technology exploitation in increasingly Open Innovation processes.",Social Sciences & Humanities,0.033,0.031,-0.021,-0.036,0.05,0.018
563,"This article explores the role of social capital in enabling knowledge transfer and exchange (KTE) between higher education institutions (HEIs) and spin-off (academic and non-academic) small and medium-sized enterprises in the context of Open Innovation, in order to convert knowledge into innovation within regional innovation systems. It presents the findings from 18 in-depth interviews with related stakeholders, and social network analysis of relationships in an exemplar technology park in Andalucía, southern Spain. The main findings suggest that there are many challenges to achieving successful KTE in regional innovation systems: recognition, intellectual property contracts and timescales. Similarly, there are opportunities related to intermediaries, joint teams and market impact. Significantly, the study highlights the importance of both formal and informal relationships as enablers of successful KTE involving HEIs and spin-off small and medium-sized enterprises in the context of Open Innovation. ",Social Sciences & Humanities,0.021,-0.012,-0.021,0.017,-0.013,0.007
564,"This article introduces the special issue on the increasing role of cities as a driver for (open) innovation and entrepreneurship. It frames the innovation space being cultivated by proactive cities. Drawing on the diverse papers selected in this special issue, this introduction explores a series of tensions that are emerging as innovators and entrepreneurs seek to engage with local governments and citizens in an effort to improve the quality of life and promote local economic growth. ",Social Sciences & Humanities,0.004,-0.004,-0.004,-0.003,0.001,-0.004
565,"This article investigates how project expertise and complexity jointly impact the decision to adopt open or closed innovation. It identifies four different types of Open Innovation models—crowdsourcing, coopetition, science-based, and network—and explores the varying conditions of project expertise and complexity under which firms tend to adopt a particular type. Using large data analysis from pharmaceutical drug development projects, the authors find that complexity moderates the relationship between project expertise and the choice of open or closed innovation and that levels of complexity and project expertise vary between different Open Innovation models. ",Social Sciences & Humanities,0.017,-0.004,-0.009,-0.021,-0.001,-0.025
566,"This article is focused on public service innovation from an innovation management perspective. It presents research experience gained from a European project for managing social and technological innovation in the production and evaluation of citizen-centred internet-enabled services in the public sector. It is based on six urban pilot initiatives, which sought to operationalise a new approach to co-producing and co-evaluating civic services in smart cities – commonly referred to as Open Innovation for smart city services. Research suggests that the evidence base underpinning this approach is not sufficiently robust to support claims being made about its effectiveness. Instead evaluation research of citizen-centred internet-enabled urban services is in its infancy and there are no tested methods or tools in the literature for supporting this approach. The paper reports on the development and trialing of a novel Co-evaluation Framework, indicators and reporting categories, used to support the co-production of smart city services in an EU-funded project. Our point of departure is that innovation of services is a sub-set of innovation management that requires effective integration of technological with social innovation, supported by the right skills and capacities. The main skills sets needed for effective co-evaluation of Open Innovation services are the integration of stakeholder management with evaluation capacities. ",Social Sciences & Humanities,0.026,-0.046,-0.028,-0.015,0.009,-0.028
567,"This article uses a contemporary and revelatory case study to explore the relationship between three conversations in the innovation literature: Design Thinking, creativity in strategy, and the emerging area of Art Thinking. Businesses are increasingly operating in a VUCA environment where they need to design better experiences for their customers and better outcomes for their firm and the Arts are no exception. Innovation, or more correctly, growth through innovation, is a top priority for business and although there is no single, unifying blueprint for success at innovation, Design Thinking is the process that is receiving most attention and getting most traction. We review the literature on Design Thinking, showing how it teaches businesses to think with the creativity and intuition of a designer to show a deep understanding of, and have empathy with, the user. However, Design Thinking has limitations. By placing the consumer at the very heart of the innovation process, Design Thinking can often lead to more incremental, rather than radical, ideas. Now there is a new perspective emerging, Art Thinking, in which the objective is not to design a journey from the current scenario, A, to an improved position, A+. Art Thinking requires the creation of an optimal position B, and spends more time in the open-ended problem space, staking out possibilities and looking for uncontested space. This paper offers a single case study of a national arts organisation in Dublin facing an existential crisis, which used an Art Thinking approach successfully to give a much-needed shot in the arm to its commercial innovation activities. ",Social Sciences & Humanities,0.028,-0.016,-0.027,-0.027,0.015,-0.029
568,"This case study examines a global pharmaceutical company widely using Open Innovation. Three main research questions are addressed: (1) what OI concepts are salient in their innovation portfolio?, (2) what OI concepts are used in the strategy formulation? and (3) what other concepts are present that augment OI? Interviews with 120 managers and archival documents were analyzed using thematic analysis. Two concepts prominent in the literature, (i) value capture models and (ii) technology evaluation criteria, were not present in this portfolio. By contrast, we found a focus on OI capability building, external information sharing and uncertain knowledge arbitrage in networks. Finally, we discuss these capabilities in relation to absorptive capacity, proposing a simple, but important bi-directional perspective to embrace OI. ",Social Sciences & Humanities,0.029,-0.036,0.055,0.008,0.023,0.044
569,"This conceptual paper analyses the role of collaborative-based HRM practices in supporting Open Innovation. There is already an extensive literature that investigates the impact of HRM practices on organizations’ innovation performance. As organizational boundaries become increasingly permeable and knowledge flows more freely, Open Innovation continues to receive close attention in management studies. However, relationships between HRM practices and Open Innovation have still not been examined. From a knowledge management perspective, we identify three kinds of barrier that may deter or impede Open Innovation. These relate to cognitive biases, concerns about transaction costs, and shortfalls in terms of organization capability. We also discuss the role of four types of collaboration-oriented HRM practices (i.e., teamwork-based recruitment, training in teamwork skills, team-based appraisals and rewards, and rotational job design) in reducing barriers to Open Innovation. Based on our analyses, we envisage future research directions about the role of collaborative-based HRM practices in supporting Open Innovation. ",Social Sciences & Humanities,0.032,-0.027,-0.003,0.03,-0.018,-0.014
570,"This conceptual paper traces the origins and progress of Open Science and proposes its generative coupling to Open Innovation in the contemporary socio-political context; where universities are re-imaging their civic missions in the face of anti-establishment populist politics. This setting is one of changing knowledge production regimes and institutional pressures that create contradictions identifiable through the prism of the series of scientific norms conceptualised by Robert K. Merton. This paper privileges a sociological perspective to proffer scientific knowledge production as a societally embedded process, which is well illustrated by scholarship in the Science and Technology Studies (STS) and Science in Society fields. In doing so, it identifies the co-evolution, co-existence and co-production of Open Science with Open Innovation; and notes how it shares the attributes of other recent diagnoses of changing knowledge production regimes; in particular Mode 2, post-normal science and the Quadruple Helix. It also argues that Open Science can be coupled with Open Innovation to catalyse positive societal change, but that the rise of a populist post-truth era opposed to objectivity, expertise and technocratic political solutions gives the demand for openness and participation a different complexion. Merton's norms provide a useful lens to observe recent shifts in the delivery of science, knowledge and innovation in society towards more inclusive, ethical and sustainable outcomes; and expose the limited reflection on how the appropriation and exploitation of open scientific knowledge encounters industrial R&D and Open Innovation.",Social Sciences & Humanities,0.024,-0.016,-0.036,0.071,0.006,0.03
571,"This exploratory study proposes an original methodology to operationalize and signal SMEs’ engagement in challenging dimensions of implementing Open Innovation. We verify whether the European SME Instrument is achieving its goal of providing public funds to the best SMEs in Europe, the ‘EU Innovation Champions’. We test our methodology on a sample of SMEs operating in the digital sector. We found that the SMEs awarded the grants are less engaged in the challenging dimensions of Open Innovation than companies that did not receive any funding. This is contrary to the intended goals of the grants. We provide policy and methodological implications relevant for the design of better OI-informed policy and the more effective evaluation of companies participating in the SME Instrument. ",Social Sciences & Humanities,0.011,-0.018,0.01,-0.014,-0.005,-0.006
572,"This GE ecomagination Challenge case study takes place in 2010 when Beth Comstock, chief marketing officer and senior vice president of General Electric, was planning a meeting with GE's CEO Jeffrey Immelt The pair plan to discuss the company's ecomagination Challenge, an Open Innovation process that solicited energy ideas from individuals and startups to identify potential ventures in green and renewable energy areas for GE to invest in. By 201 I, the ecomagination Challenge had resulted in $140 million (out of its allocated $200 million) of investments in 23 ventures. However, the scale of these results was dwarfed by GE's $37 billion energy business. So the time has come for Comstock to evaluate the results of the ecomagination Challenge more carefully and decide on whether and how to continue this kind of activity within GE's energy business, or in other GE businesses. How should GE measure ecomagination's results in order to justify its existence and possible future investments? What new processes and structures would be required to make sure that some of the Challenge's investments would pay off for GE down the rood? Based on the program's results to date, was the program a good investment for GE and something GE should repeat or was it a noble experiment that should be discontinued?",Social Sciences & Humanities,0.02,-0.026,-0.024,-0.025,-0.001,-0.01
573,"This investigation was carried out on the adoption of the e-money payment model with the application of a quantitative and qualitative approach (mixed methods). Online questionnaires, which included closed-ended questions on a Likert five-point scale and open-ended questions, were distributed through social media chat groups. Respondent samples were drawn from the population of adolescent customers in Indonesia. The collected questionnaires were verified for accuracy, reliability, and validity before the data were analyzed. Adequate data were used to test the relationship model between latent variables, and the relationship of latent variables in the model was tested using partial least squares by employing Smart-PLS 3.0 software and NVIVO 12 plus. The final analysis shows that the reasons for adopting e-money are practicality and convenience. The main reasons that customers adopt electronic money are its practicality, ease of use, efficient transaction time, faster payment, and the simplicity of the payment process. The final modeling formed good-fit inner and outer models. This model verifies the significant influence of social factors, effort expectancy, and facilitation conditions on e-money attitudes. Additionally, social factors, effort expectancy, and attitudes have a significant influence on e-money behavior. ",Social Sciences & Humanities,0.021,-0.026,-0.016,-0.034,-0.02,-0.016
574,"This paper addresses a major gap in reported research on Open Innovation: how do companies implement Open Innovation? To answer this question a sample of 43 cross-sector firms were reviewed for their OI implementation approaches. The study analyzed how firms moved from practising closed to Open Innovation, classifying the adoption path according to the impetus for the adoption of the OI paradigm and the coordination of the OI implementation. The way firms adopted OI was found to vary according to (1) their innovation requirements, (2) the timing of the implementation and (3) their organizational culture. ",Social Sciences & Humanities,0.025,0.001,0.058,-0.005,0.043,-0.013
575,"This paper addresses how the Open Innovation concept can be applied in large corporations aiming to work with small innovative firms. More specifically, we report an in-depth qualitative study of how AstraZeneca, a global bio-pharmaceutical corporation, designed and enacted a new mode of organizing for coupled Open Innovation, with an initiative called the BioVentureHub. The governance structure behind this way of organizing is explored and conceptualized, and we also analyse how this structure shaped the relations and the value being collaboratively generated and shared. Theoretically, the paper connects the governance literature with Open Innovation. From the analysis of the empirical case, we propose a distinct governance structure that we label as a corporate hub, and we distinguish it from other “open” governance forms, e.g. market, network and bazaar governance, and explain the potential value it brings for coupled Open Innovation between large and small firms. ",Social Sciences & Humanities,0.019,0.011,-0.008,-0.015,0.022,-0.03
576,"This paper addresses how the Open Innovation concept, as recently coined by Henry Chesbrough, can be analyzed from an industrial dynamics perspective. The main proposition of the paper is that the specific modes in which different companies manage Open Innovation in regard to an emerging technology reflect their differential position within the innovation system in question, the nature and stage of maturity of the technological regime, and the particular value proposition pursued by companies. The proposition is analyzed through an in-depth study of the current transformation of sound amplification from linear solid state technology to switched or digital technology within the consumer electronics system of innovation. The analysis especially addresses the complex interplay between technology entrepreneurs and incumbents, and demonstrates that Open Innovation sometimes has to be conducted under conditions of high transaction costs. ",Social Sciences & Humanities,0.018,-0.007,-0.023,-0.028,0.024,0.072
577,"This paper addresses the ‘network’ and ‘Open Innovation’ paradigms by seeking to examine the factors associated with structural positioning within university–industry networks. Drawing upon a network analysis of knowledge-based ties held by universities across the regions of the UK, it is found that those universities with the most central positions (network centrality) within university–industry network structures also have high rates of relational involvement in activities such as spin-off generation and engagement in externally funded research projects. Some forms of activity, in particular intellectual property protection through patenting, are found to be negatively associated with centrality. Spatial location is largely found to be unrelated to the network centrality of universities. By utilising network centrality as one measure of the Open Innovation capability of universities, the paper indicates that a range of institutional characteristics and factors tend to either promote or limit the engagement of universities in Open Innovation practices. ",Social Sciences & Humanities,0.023,-0.016,-0.02,-0.003,0.005,-0.022
578,"This paper addresses the challenging problem of collaborative Open Innovation in the context of Virtual Enterprises. The illustrated solutions, which represent the outcome of the BIVEE European project, are based on a knowledge-centric approach and a business innovation reference framework characterised by flexible guidelines, capable of providing useful guidance without hindering freedom and creativity with tight engineering practice. Based on this a software platform has been developed and experimented in different industrial settings, providing very positive feedback. ",Physical Sciences,0.012,-0.014,-0.011,0.011,-0.0,-0.009
579,"This paper aims at investigating the relationships between the adoption of Open Innovation by companies and their context features, internal R&D, and financial performances. Two proxies for openness - variety and intensity - are defined, and six hypotheses are formulated and tested on a sample of 68 worldwide top R&D spending pharmaceutical companies. The period of 2008-2012 was analyzed for a total of 340 statistical units. Our results suggest that Open Innovation is a very pervasive behavior among smaller and younger companies, for which internal R&D is complementary to openness; still being in the development phase, they derive most of their revenues from Open Innovation itself and show negative financial performances. Yet, a wider range of open transactions are performed by larger and longer established firms, exhibiting good financial performances and adopting Open Innovation as a substitution to internal R&D efforts. Through an in-depth review of the literature, this paper contributes to the research on Open Innovation by providing an accounting measurement system, testing six hypotheses among Open Innovation and some firm-level variables, and positioning the obtained results within the current debate. ",Social Sciences & Humanities,0.029,0.013,0.002,-0.023,-0.032,-0.006
580,"This paper aims to identify the development of solar energy technologies through Open Innovation. Manuscripts about solar energy and Open Innovation published between the years 2000 and 2014 in journals indexed by Web of Science Core Collection were used to create a database and terms related to solar energy and Open Innovation were sought in papers title, summary and keywords. By using words “cooperation” and “collaboration” as a proxy to map Open Innovation, it was found that this approach exist widely for solar energy researches and most important publications was developed collaboratively. Social network analysis methodology was used to identified clusters of local, national and international partnerships, which prove that researches cooperation to solar energy technological development is true. International cooperation is prevalent in countries like the Netherlands, United Kingdom, Spain and Germany. National partnership occurs in Japan, United States, France, Italy and South Korea. China has predominant local cooperation profile, but it will be major international collaborative actor in solar energy researches next years. Also, a set of recommendations based on findings was provided to construct a better environment for cooperation and to improve solar energy researches. ",Social Sciences & Humanities,0.027,-0.032,-0.028,-0.029,0.014,-0.006
581,"This paper aims to measure the effect of tax contributions in promoting innovation while highlighting the role of corporate taxes in governance quality in nations within and outside the Organization for Economic Co-operation and Development (OECD). The study applied the generalized method of moments (GMM) framework and found that good governance invariably increases the Innovation Index. Moreover, research and development expenditures revealed a positive association with the Innovation Index. However, corporate taxes and taxes paid by the business sector harm the Innovation Index. Following the investigation, we recommended that policymakers should plan well to balance the costs of innovation and tax incentives, to avoid stimulating unproductive innovations or affecting operating budgets. ",Social Sciences & Humanities,0.013,-0.016,-0.008,-0.013,-0.004,-0.007
582,"This paper analyzes the drivers of multinational affiliates’ innovation, using a dataset based on the Community Innovation Survey for Belgium. Specifically, we investigate the role of external knowledge sources on foreign affiliates’ research efforts and innovation. We thereby develop an enriched typology by taking both the MNC and the host country perspective into consideration and distinguish between different types of subsidiaries, in order to disentangle differences in the use of knowledge sources between technology exploiting, seeking and creating subsidiaries. Our findings show that technology-creating foreign affiliates are able to tap into a combination of industry-based value chain partners and science-based partners. In particular, a combination of clients and universities have a powerful impetus on the research effort of technology creating firms. Our results also indicate that technology-seeking subsidiaries make more use of collaboration with competitors. Technology exploiting subsidiaries make significantly less use of external knowledge sources and have a lower R&D intensity. ",Social Sciences & Humanities,0.037,0.008,-0.04,0.028,0.026,0.096
583,"This paper builds new theory and provides supporting evidence to contain the Not-Invented-Here Syndrome (NIHS) – a persistent decision-making error arising from an attitude-based bias against external knowledge. Conceptually, we draw on the 4i framework of organizational learning to develop a novel process perspective on NIHS. This allows us not only to unpack how and where NIHS impedes organizational learning, but also to identify the key requirements for effective NIHS countermeasures. Importantly, countermeasures fall into two categories: those that seek to change the negative attitude directly (direct NIHS countermeasures) and those that seek to attenuate the behavioral impact of negative attitudes without addressing the attitudes as such (indirect NIHS countermeasures). While the evidence base on direct NIHS countermeasures has grown over the last decade, indirect NIHS countermeasures have received little research attention. To address this gap, we adopt a mixed methods research design composed of two complementary empirical studies – the first qualitative and the second quantitative. Study 1 explores the prevalence of distinct NIHS countermeasures in collaborative R&D practice. Based on 32 interviews and three focus group meetings with R&D employees, we find that a broad array of primarily direct NIHS countermeasures is employed in R&D practice. Study 2 addresses the scarcity of scholarly and managerial insights on indirect NIHS countermeasures by testing the effectiveness of perspective taking as a debiasing technique to contain negative attitudes at the level of the individual. Based on quantitative survey data from 565 global R&D projects, it provides empirical evidence not only for the prevalence and negative effects of NIHS on project success as mediated by external knowledge absorption, but also for the effectiveness of perspective taking as an exemplary indirect NIHS countermeasure. ",Social Sciences & Humanities,0.039,-0.027,-0.026,0.019,-0.024,-0.02
584,"This paper considers Open Innovation strategies in the food and drink industry and seeks to examine the determinants of openness and the impact of open behaviours by companies on innovation performance. The study clusters food and drink companies in terms of their degree of openness measured across two dimensions, namely, collaboration breadth (broad to narrow collaboration ecosystem) and collaboration depth (deeper to surface collaboration). Findings show that food and drink companies can be clustered into three Open Innovation modes in terms of their search strategy for external knowledge ranging from limited collaboration with traditional partners to a broad and deep openness approach with a wide spectrum of external sources. Technology pressures emerge as a key driver for greater openness. Significantly, greater openness leads to enhanced innovation performance; however, it requires a dedicated architecture for collaboration to access and leverage external knowledge.  ",Social Sciences & Humanities,0.029,0.006,-0.022,0.016,-0.031,0.052
585,"This paper considers the Open Innovation paradigm in the context of entrepreneurial firms. Based on an analysis of survey data, it examines the relationship between network ties and innovation. These are considered as the strategic network ties associated with Open Innovation and the embedded ties associated with entrepreneurial networks. It is found that both strategic and embedded ties are significantly associated with rates of innovation for entrepreneurial firms, although for the former this relationship is driven by a minority of larger or highly innovative firms. Strategic ties are most strongly linked to product and organisational innovations, whilst process innovations are more related to embedded network ties. There is some evidence of complementarity between the two forms of network tie. It is concluded that in the entrepreneurial context, the Open Innovation concept should be broadened to encompass the role performed by embedded network ties. ",Social Sciences & Humanities,0.024,0.03,-0.004,-0.015,0.011,-0.042
586,"This paper contributes to the Open Innovation literature by presenting a successful application of the Open Innovation approach in the maritime sector between Fincantieri (FC), one of the world's largest shipbuilding groups, and the National Research Council of Italy (CNR, Consiglio Nazionale delle Ricerche), the largest research entity in Italy. By using external sources of scientific innovation, specifically 10 different groups of researchers from CNR research institutes and three universities, and by integrating these groups with a team of expert Fincantieri's designers, the company obtained significant advances in terms of technological content and competitiveness. This collaboration is an evident example of successful implementation of the Open Innovation paradigm, where a big company (Fincantieri) uses external sources of innovation (the CNR researchers) to advance its technology by carrying out six different projects simultaneously. The paper presents the adopted Open Innovation model, the governance approach specifically implemented by the company and the major scientific contents and outcomes of the constellation of the six connected projects. ",Social Sciences & Humanities,0.025,-0.03,-0.029,-0.018,0.011,0.016
587,"This paper critically synthesizes empirics and issues in discrete inter-disciplinary literatures to identify ‘Open Innovation’ as part of an emergent regime of accumulation, overlaying and co-existing with flexible production, and encompassing novel firm-level strategies, new forms of corporate networks, and a disturbing capital-labor relation that informalizes innovative work while cultivating entrepreneurial but self-exploiting subjects. I explain the novelty of Open Innovation, its genealogy, and the implications for people and conditions of work as much as for firms in a new topology of power relations. I cast the ensemble of strategies and tactics encompassed in Open Innovation as contingent, continually unfolding, and sometimes chaotic if not destructive for both firms and labor, in contrast to the celebratory tone in the business as well as geography and regional studies literatures regarding its benefits for competitiveness, innovativeness, value capture, and development. Open Innovation – the externalization of innovation – entails long-run approaches to innovation and investment that are fraught with problems, prompting the development of short-term tactics to engage the challenges. One short-run strategy, crowdsourcing, bypasses the conventional web of inter-firm relations to connect digitally with individuals of the global crowd, enabling firms to reap the benefits of the crowd's innovative talents, often without remuneration under circumstances that institutionalize informal work. These neoliberal subjects are best understood in terms of multiple subjectivities. I close by connecting the crowdsourcing of innovative with non-innovative work, both of which are parts of the emergent regime associated with new hiring and work practices that usher in new modes of exploitation. ",Social Sciences & Humanities,0.037,0.044,-0.009,-0.019,0.049,-0.045
588,"This paper describes a new business model for advancing NASA human health and performance innovations and demonstrates how Open Innovation, including the use of crowdsourcing and technology solution sourcing services, shaped its development. A 45 percent research and technology development budget reduction drove formulation of a strategic plan grounded in collaboration. We describe the strategy execution, including adoption and results of Open Innovation initiatives, the challenges of culture change, and the development of a knowledge management tool to educate and engage the workforce in the new strategy and promote culture change.  (c) Industrial Research Institute, Inc. All rights reserved.",Social Sciences & Humanities,0.022,-0.017,-0.018,-0.008,0.01,0.045
589,"This paper develops novel behavioural models of Open Innovation for competitive markets and uses them to compare the impact of two types of OI frameworks – open source (OS) and patent-licensing (PL). The dynamic consequences of OI, for both OS and PL, are studied using a complex adaptive systems approach. We examine how profits, technology levels, R&D investment, technology adoption and market structure evolve under each and are impacted by underlying market characteristics. While both OS and PL are found to be equivalent in technology outcomes, OS comes with additional advantages to participating firms. Firms in the OS framework earn higher profit and are more efficient with their R&D investments. The industry is less concentrated under OS than under PL, except when market size is very large. In both frameworks, consumer preference for new product adoption has a significant impact. When consumers adopt newly introduced products relatively quickly, market concentration is the higher and overall rate of technological progress slower. These results contribute towards a deeper theoretical understanding of OI, opening new avenues for future research. ",Social Sciences & Humanities,0.035,0.004,0.024,-0.035,0.04,0.052
590,"This paper discusses the links between knowledge-oriented leadership, Open Innovation and knowledge management in the international business context. Open Innovation has become crucial for an increasing number of multinational enterprises (MNEs) to gain and maintain competitive advantage and become a market leader. Despite the recent proliferation of papers dealing with Open Innovation practices of MNEs, there is limited work investigating the role of knowledge management (KM) capability on the relationship between knowledge-oriented leadership and Open Innovation. Given MNEs’ growing interest in Open Innovation, the lack of research on knowledge-oriented leadership and KM capability in the Open Innovation context is a significant research gap in our knowledge. In response, we conducted a study on the mediating role of KM capability in the linkage between knowledge-oriented leadership and Open Innovation (inbound and outbound), using data collected from 172 subsidiaries of MNEs based in France. A structural equation modelling approach is employed to study the impact of the latent variables associated with knowledge-oriented leadership and KM capability on Open Innovation. The results indicate that higher levels of knowledge-oriented leadership can lead to enhanced KM capability and improved Open Innovation outcomes. That is, knowledge-oriented leadership has a direct, positive impact on KM capability and Open Innovation. Also, KM capability is found to mediate the linkage between knowledge-oriented leadership and Open Innovation. This study provides useful insights for managers who wish to enhance Open Innovation activities in MNEs, and offers useful guidance to international business scholars, encouraging further research in this area. ",Social Sciences & Humanities,0.06,-0.038,-0.029,0.159,-0.063,0.018
591,"This paper examines the concept of Open Innovation within the context of corporate social responsibility. It demonstrates how the practice of Open Innovation unfolds in inter-organizational collaborations that involve the voluntary or charitable sector, outlining the findings of an explorative collective case study of eight voluntary dyadic partnerships between corporate and nonprofit organizations in the United Kingdom, which have resulted in innovation outcomes. Two generic approaches to Open Innovation were witnessed: firstly, a more exploratory approach to dyadic engagement activities that resulted in an emergent innovation process, and secondly, a focused and pre-determined search activity to exploit the resources of the nonprofit partner that demonstrated a more planned innovation process. Two distinct boundary-spanning roles were identified: in dyads exhibiting few organizational linkages, the role was associated with formal responsibilities from senior management to 'manage' innovation opportunities and outcomes. In dyads exhibiting high linkages, there was no such formality; the role was a 'conduit' to facilitate search and exploration to locate opportunities for innovation through idea exchange. Overall, this research demonstrates the value of an Open Innovation approach driven by the need to address societal and social issues (rather than those purely economic). Such practice broadens a firm's 'search' activities and delivers innovations in exchange for enhanced social legitimacy - acting innovation capital for future enterprising activities and market advantage. ",Social Sciences & Humanities,0.033,-0.019,-0.019,-0.016,0.005,-0.033
